Vorname;Nachname;Mail;Kurs
Marie-Luise;de Bries;al@ae.de;Kurs-2
Ümüt;Özlem;oe@oa.cc;Kurs-1
Ibrahim;Al-Iser;asdh@asd.xx;Kurs-3
Rolf;Müller;asd@asd.com;Kurs-1
Rainer Alfred;Wille;qwer@wert.zz;Kurs-1
Mira;Schmidt-Hermann;usd@usd.cc;Kurs-2
Aiman;Abdallah;cat@cat.com;Kurs-1
Stefanie;Maßen;st@as.com;Kurs-3
Il-Song;Nhung-Bing;il@sq.cc;Kurs-1
äÄ-öü;Il Il-äÜ;ak@as.de;Kurs-2
Lars;Lötrich;ll@aa.dd;Kurs-1
Gina;Freitag;gg@gg.gg;Kurs-2
Alina;Wilmer;aa@bb.cc;Kurs-3
Ilka;Fürth;ik@fu.cc;Kurs-2
Jörg;Schönberg;jj@xx.cc;Kurs-1
Franziska;Ißen;ii@aa.cc;Kurs-3
